Augmented_Smiles,Augmented_Selfies
C1(c2ccccc2)=C(c2ccc(S(=O)(C)=O)cc2)COC1=O,[C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][S][=Branch1][C][=O][Branch1][C][C][=O][C][=C][Ring1][#Branch2][C][O][C][Ring2][Ring1][Branch1][=O]
c1cccc(C2=C(c3ccc(S(=O)(C)=O)cc3)COC2=O)c1,[C][=C][C][=C][C][Branch2][Ring1][=C][C][=C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][S][=Branch1][C][=O][Branch1][C][C][=O][C][=C][Ring1][#Branch2][C][O][C][Ring1][#C][=O][=C][Ring2][Ring1][=Branch1]
c1nc(-c2ccc(CN(C[C@H](O)[C@@H](NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc3ccccc3)NC([C@H](C(C)(C)C)NC(=O)OC)=O)cc2)ccc1,[C][=N][C][Branch2][#Branch1][Ring1][C][=C][C][=C][Branch2][=Branch1][#Branch1][C][N][Branch2][Ring2][#Branch2][C][C@H1][Branch1][C][O][C@@H1][Branch2][Ring1][Branch2][N][C][=Branch1][C][=O][C@@H1][Branch1][Branch2][N][C][=Branch1][C][=O][O][C][C][Branch1][C][C][Branch1][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Branch2][Ring1][Ring1][C@H1][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][O][C][=O][C][=C][Ring2][Ring2][=N][=C][C][=C][Ring2][Branch1][Ring1]
c1cc(-c2ccc(CN(C[C@@H]([C@@H](NC([C@H](C(C)(C)C)NC(=O)OC)=O)Cc3ccccc3)O)NC(=O)[C@H](C(C)(C)C)NC(OC)=O)cc2)ncc1,[C][=C][C][Branch2][#Branch1][Ring2][C][=C][C][=C][Branch2][=Branch1][Branch2][C][N][Branch2][Ring2][N][C][C@@H1][Branch2][Ring2][=Branch1][C@@H1][Branch2][Ring1][=Branch2][N][C][Branch2][Ring1][Ring1][C@H1][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][O][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][N][C][=Branch1][C][=O][C@H1][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][N][C][Branch1][Ring1][O][C][=O][C][=C][Ring2][Ring2][=N][=N][C][=C][Ring2][Branch1][Ring1]
N(C(=O)OC)[C@@H](C(C)(C)C)C(=O)N[C@H]([C@@H](O)CN(Cc1ccc(-c2ncccc2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccccc1,[N][Branch1][#Branch1][C][=Branch1][C][=O][O][C][C@@H1][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C@H1][Branch2][Branch1][Ring2][C@@H1][Branch1][C][O][C][N][Branch2][Ring1][Ring2][C][C][=C][C][=C][Branch1][=Branch2][C][=N][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][N][N][C][=Branch1][C][=O][C@@H1][Branch1][Branch2][N][C][=Branch1][C][=O][O][C][C][Branch1][C][C][Branch1][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
O[C@@H](CN(Cc1ccc(-c2ncccc2)cc1)NC(=O)[C@@H](NC(OC)=O)C(C)(C)C)[C@@H](NC(=O)[C@H](C(C)(C)C)NC(=O)OC)Cc1ccccc1,[O][C@@H1][Branch2][Ring2][S][C][N][Branch2][Ring1][Ring2][C][C][=C][C][=C][Branch1][=Branch2][C][=N][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][N][N][C][=Branch1][C][=O][C@@H1][Branch1][Branch2][N][C][Branch1][Ring1][O][C][=O][C][Branch1][C][C][Branch1][C][C][C][C@@H1][Branch2][Ring1][Branch2][N][C][=Branch1][C][=O][C@H1][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
O=C([C@H](C(C)(C)C)NC(OC)=O)NN(Cc1ccc(-c2ccccn2)cc1)C[C@@H]([C@@H](NC(=O)[C@H](C(C)(C)C)NC(=O)OC)Cc1ccccc1)O,[O][=C][Branch2][Ring1][Ring1][C@H1][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][N][C][Branch1][Ring1][O][C][=O][N][N][Branch2][Ring1][Ring2][C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=N][Ring1][=Branch1][C][=C][Ring1][N][C][C@@H1][Branch2][Ring2][Branch1][C@@H1][Branch2][Ring1][Branch2][N][C][=Branch1][C][=O][C@H1][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O]
[C@@H](C(C)(C)C)(NC(=O)OC)C(NN(Cc1ccc(-c2ccccn2)cc1)C[C@@H]([C@@H](NC(=O)[C@H](C(C)(C)C)NC(=O)OC)Cc1ccccc1)O)=O,[C@@H1][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][Branch1][Branch2][N][C][=Branch1][C][=O][O][C][C][Branch2][=Branch1][Ring1][N][N][Branch2][Ring1][Ring2][C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=N][Ring1][=Branch1][C][=C][Ring1][N][C][C@@H1][Branch2][Ring2][Branch1][C@@H1][Branch2][Ring1][Branch2][N][C][=Branch1][C][=O][C@H1][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][=O]
N(C[C@@H]([C@@H](NC(=O)[C@H](C(C)(C)C)NC(=O)OC)Cc1ccccc1)O)(Cc1ccc(-c2ncccc2)cc1)NC([C@@H](NC(OC)=O)C(C)(C)C)=O,[N][Branch2][Ring2][O][C][C@@H1][Branch2][Ring2][Branch1][C@@H1][Branch2][Ring1][Branch2][N][C][=Branch1][C][=O][C@H1][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Branch2][Ring1][Ring2][C][C][=C][C][=C][Branch1][=Branch2][C][=N][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][N][N][C][Branch2][Ring1][Ring1][C@@H1][Branch1][Branch2][N][C][Branch1][Ring1][O][C][=O][C][Branch1][C][C][Branch1][C][C][C][=O]
C([C@@H](NC(OC)=O)C(C)(C)C)(NN(C[C@H](O)[C@H](Cc1ccccc1)NC([C@H](C(C)(C)C)NC(OC)=O)=O)Cc1ccc(-c2ncccc2)cc1)=O,[C][Branch2][Ring1][Ring1][C@@H1][Branch1][Branch2][N][C][Branch1][Ring1][O][C][=O][C][Branch1][C][C][Branch1][C][C][C][Branch2][=Branch1][C][N][N][Branch2][Ring2][#Branch2][C][C@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Branch2][Ring1][Ring1][C@H1][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][N][C][Branch1][Ring1][O][C][=O][=O][C][C][=C][C][=C][Branch1][=Branch2][C][=N][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][N][=O]
